2025-07-03 19:52:06,223 | INFO     | nexus_trading.main   | ==================================================
2025-07-03 19:52:06,224 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-07-03 19:52:06,224 | INFO     | nexus_trading.main   | Mode: demo
2025-07-03 19:52:06,224 | INFO     | nexus_trading.main   | Symbol: RELIANCE
2025-07-03 19:52:06,224 | INFO     | nexus_trading.main   | ==================================================
2025-07-03 19:52:06,224 | INFO     | nexus_trading.main   | Starting DEMO mode for symbol: RELIANCE
2025-07-03 19:52:06,873 | INFO     | database.enhanced_database_manager | Database connection pool initialized
2025-07-03 19:52:06,874 | INFO     | nexus_trading.main   | Loading fundamental data for RELIANCE...
2025-07-03 19:52:06,887 | INFO     | nexus_trading.main   | Loading historical data for RELIANCE...
2025-07-03 19:52:06,920 | INFO     | nexus_trading.main   | Found 19 historical records
2025-07-03 19:52:06,923 | INFO     | nexus_trading.main   | Date range: 2025-06-30 18:09:50.322704 to 2025-07-02 18:00:26.929237
2025-07-03 19:52:06,924 | INFO     | nexus_trading.main   | Testing data pipeline...
2025-07-03 19:52:06,929 | INFO     | database.enhanced_database_manager | Created/verified table: historical_data_3m_2025_q3
2025-07-03 19:52:06,932 | INFO     | utils.data_updater   | Successfully updated sample data for RELIANCE
2025-07-03 19:52:06,932 | INFO     | nexus_trading.main   | Data pipeline test: {'total_symbols': 1, 'successful_updates': 1, 'failed_updates': 0, 'errors': []}
2025-07-03 19:52:06,932 | INFO     | nexus_trading.main   | Testing technical analysis...
2025-07-03 19:52:06,965 | ERROR    | agents.technical_agent | Technical analysis failed for RELIANCE: 'float' object has no attribute 'get'
2025-07-03 19:52:06,965 | WARNING  | nexus_trading.main   | Technical analysis error: 'float' object has no attribute 'get'
2025-07-03 19:52:06,965 | INFO     | nexus_trading.main   | Demo completed successfully for RELIANCE
2025-07-03 19:52:06,965 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STOPPING
2025-07-03 19:52:06,965 | INFO     | nexus_trading.main   | ==================================================
