2025-07-01 22:25:40,954 | INFO     | nexus_trading.main   | ==================================================
2025-07-01 22:25:40,954 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-07-01 22:25:40,954 | INFO     | nexus_trading.main   | Mode: test
2025-07-01 22:25:40,954 | INFO     | nexus_trading.main   | ==================================================
2025-07-01 22:25:40,955 | INFO     | nexus_trading.main   | Starting TEST mode...
2025-07-01 22:25:40,955 | INFO     | nexus_trading.main   | Test 1: Environment validation...
2025-07-01 22:25:44,019 | INFO     | nexus_trading.main   | pandas: 2.3.0
2025-07-01 22:25:44,020 | INFO     | nexus_trading.main   | numpy: 2.3.1
2025-07-01 22:25:44,395 | WARNING  | nexus_trading.main   | pandas_ta not available - will use fallback calculations
2025-07-01 22:25:44,395 | INFO     | nexus_trading.main   | Test 2: Database connection...
2025-07-01 22:25:46,475 | INFO     | database.enhanced_database_manager | Database connection pool initialized
2025-07-01 22:25:46,519 | INFO     | nexus_trading.main   | Database connection successful
2025-07-01 22:25:46,519 | INFO     | nexus_trading.main   | System health: {'total_symbols': 12, 'available_quarters': 1}
2025-07-01 22:25:46,519 | INFO     | nexus_trading.main   | Test 3: Existing tables access...
2025-07-01 22:25:46,522 | INFO     | nexus_trading.main   | Found 5 symbols in stocks_categories_table
2025-07-01 22:25:46,522 | INFO     | nexus_trading.main   | Sample symbol: RELIANCE - Reliance Industries Ltd
2025-07-01 22:25:46,524 | INFO     | nexus_trading.main   | Found 1 historical data quarters
2025-07-01 22:25:46,524 | INFO     | nexus_trading.main   | Test 4: Agent tables...
2025-07-01 22:25:46,822 | INFO     | database.schema_creator | Created 4/4 essential tables
2025-07-01 22:25:46,822 | INFO     | nexus_trading.main   | Essential agent tables created/verified
2025-07-01 22:25:46,971 | INFO     | database.schema_creator | Basic system configuration initialized
2025-07-01 22:25:46,972 | INFO     | nexus_trading.main   | Basic system configuration initialized
2025-07-01 22:25:47,010 | INFO     | nexus_trading.main   | All essential tables verified
2025-07-01 22:25:47,010 | INFO     | nexus_trading.main   | Test 5: Sentiment tables...
2025-07-01 22:25:47,010 | ERROR    | database.enhanced_database_manager | Failed to create sentiment tables: name 'Path' is not defined
2025-07-01 22:25:47,010 | WARNING  | nexus_trading.main   | Failed to create sentiment tables
2025-07-01 22:25:47,011 | INFO     | nexus_trading.main   | Test 6: Data pipeline...
2025-07-01 22:25:47,011 | ERROR    | nexus_trading.main   | Test mode failed: 'NexusTradingSystem' object has no attribute '_test_data_pipeline'
2025-07-01 22:25:47,011 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STOPPING
2025-07-01 22:25:47,011 | INFO     | nexus_trading.main   | ==================================================
