2025-07-02 18:00:17,482 | INFO     | nexus_trading.main   | ==================================================
2025-07-02 18:00:17,483 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STARTING
2025-07-02 18:00:17,484 | INFO     | nexus_trading.main   | Mode: test
2025-07-02 18:00:17,484 | INFO     | nexus_trading.main   | ==================================================
2025-07-02 18:00:17,485 | INFO     | nexus_trading.main   | Starting TEST mode...
2025-07-02 18:00:17,485 | INFO     | nexus_trading.main   | Test 1: Environment validation...
2025-07-02 18:00:22,313 | INFO     | nexus_trading.main   | pandas: 2.3.0
2025-07-02 18:00:22,314 | INFO     | nexus_trading.main   | numpy: 2.3.1
2025-07-02 18:00:22,780 | WARNING  | nexus_trading.main   | pandas_ta not available - will use fallback calculations
2025-07-02 18:00:22,781 | INFO     | nexus_trading.main   | Test 2: Database connection...
2025-07-02 18:00:26,294 | INFO     | database.enhanced_database_manager | Database connection pool initialized
2025-07-02 18:00:26,322 | INFO     | nexus_trading.main   | Database connection successful
2025-07-02 18:00:26,322 | INFO     | nexus_trading.main   | System health: {'total_symbols': 12, 'available_quarters': 2}
2025-07-02 18:00:26,323 | INFO     | nexus_trading.main   | Test 3: Existing tables access...
2025-07-02 18:00:26,326 | INFO     | nexus_trading.main   | Found 5 symbols in stocks_categories_table
2025-07-02 18:00:26,326 | INFO     | nexus_trading.main   | Sample symbol: RELIANCE - Reliance Industries Ltd
2025-07-02 18:00:26,328 | INFO     | nexus_trading.main   | Found 2 historical data quarters
2025-07-02 18:00:26,328 | INFO     | nexus_trading.main   | Test 4: Agent tables...
2025-07-02 18:00:26,736 | INFO     | database.schema_creator | Created 4/4 essential tables
2025-07-02 18:00:26,736 | INFO     | nexus_trading.main   | Essential agent tables created/verified
2025-07-02 18:00:26,842 | INFO     | database.schema_creator | Basic system configuration initialized
2025-07-02 18:00:26,843 | INFO     | nexus_trading.main   | Basic system configuration initialized
2025-07-02 18:00:26,913 | INFO     | nexus_trading.main   | All essential tables verified
2025-07-02 18:00:26,914 | INFO     | nexus_trading.main   | Test 5: Sentiment tables...
2025-07-02 18:00:26,920 | INFO     | database.enhanced_database_manager | Sentiment tables created successfully
2025-07-02 18:00:26,921 | INFO     | nexus_trading.main   | Sentiment tables created successfully
2025-07-02 18:00:26,921 | INFO     | nexus_trading.main   | Test 6: Data pipeline...
2025-07-02 18:00:26,930 | INFO     | database.enhanced_database_manager | Created/verified table: historical_data_3m_2025_q3
2025-07-02 18:00:26,934 | INFO     | utils.data_updater   | Successfully updated sample data for RELIANCE
2025-07-02 18:00:26,936 | INFO     | database.enhanced_database_manager | Created/verified table: historical_data_3m_2025_q3
2025-07-02 18:00:26,939 | INFO     | utils.data_updater   | Successfully updated sample data for TCS
2025-07-02 18:00:26,939 | INFO     | nexus_trading.main   | Data pipeline test successful: 2 symbols updated
2025-07-02 18:00:26,940 | INFO     | nexus_trading.main   | Test 7: Technical analysis...
2025-07-02 18:00:27,876 | INFO     | nexus_trading.main   | Testing signal generation with symbols: ['RELIANCE', 'HDFCBANK', 'ICICIBANK']
2025-07-02 18:00:28,954 | INFO     | agents.technical_agent | No historical data for HDFCBANK, using synthetic data for testing
2025-07-02 18:00:29,923 | INFO     | agents.technical_agent | No historical data for ICICIBANK, using synthetic data for testing
2025-07-02 18:00:30,824 | INFO     | nexus_trading.main   | Trying direct technical analysis...
2025-07-02 18:00:30,883 | INFO     | nexus_trading.main   | Technical analysis working for RELIANCE
2025-07-02 18:00:30,884 | INFO     | nexus_trading.main   | Test 8: Sentiment analysis...
2025-07-02 18:00:31,709 | INFO     | nexus_trading.main   | Market sentiment: 0.500
2025-07-02 18:00:32,585 | INFO     | nexus_trading.main   | Sentiment for RELIANCE: 0.500 (no_news)
2025-07-02 18:00:33,399 | INFO     | nexus_trading.main   | Sentiment for HDFCBANK: 0.500 (no_news)
2025-07-02 18:00:33,400 | INFO     | nexus_trading.main   | Test 9: Enhanced sentiment...
2025-07-02 18:00:34,288 | INFO     | nexus_trading.main   | Enhanced sentiment RELIANCE: 0.500
2025-07-02 18:00:34,333 | INFO     | nexus_trading.main   | Trend RELIANCE: unknown
2025-07-02 18:00:35,140 | INFO     | nexus_trading.main   | Enhanced sentiment HDFCBANK: 0.500
2025-07-02 18:00:35,142 | INFO     | nexus_trading.main   | Trend HDFCBANK: unknown
2025-07-02 18:00:35,145 | INFO     | nexus_trading.main   | Market sentiment: 0.500
2025-07-02 18:00:35,147 | INFO     | nexus_trading.main   | NEXUS TRADING SYSTEM STOPPING
2025-07-02 18:00:35,147 | INFO     | nexus_trading.main   | ==================================================
